1.8;2.2
1.81;2.21
1.82;2.22
1.83;2.23
1.84;2.24
1.85;2.25
1.86;2.26
1.87;2.27
1.88;2.28
1.89;2.29
1.9;2.3
1.91;2.31
1.92;2.32
1.93;2.33
1.94;2.34
1.95;2.35
1.96;2.36
1.97;2.37
1.98;2.38
1.99;2.39
2;2.4
2.01;2.41
2.02;2.42
2.03;2.43
2.04;2.44
2.05;2.45
2.06;2.46
2.07;2.47
2.08;2.48
2.09;2.49
2.1;2.5
2.11;2.51
2.12;2.52
2.13;2.53
2.14;2.54
2.15;2.55
2.16;2.56
2.17;2.57
2.18;2.58
2.19;2.59
2.2;2.6
2.21;2.61
2.22;2.62
2.23;2.63
2.24;2.64
2.25;2.65
2.26;2.66
2.27;2.67
2.28;2.68
2.29;2.69
1.98131;2.50863;135.018
